"artist_name","normalized_name","slug","artist_type","gender_or_group","haitian_status","birth_country","genres","active_status","spotify_url","youtube_channel_url","haitian_evidence_url","music_evidence_url","verification_status","confidence_score","notes"
"Wyclef Jean","wyclef jean","wyclef-jean","solo","male","verified_haitian_diaspora","HT","Hip-Hop, Compas, Reggae","active","https://open.spotify.com/artist/7sfl4Xt5KmfyDs2T3SVSMK","https://www.youtube.com/@waboroband","https://en.wikipedia.org/wiki/Wyclef_Jean","https://en.wikipedia.org/wiki/Wyclef_Jean","VERIFIED","98","Né à Croix-des-Bouquets Haiti. Fugees. Carrière solo internationale."
"Mikaben","mikaben","mikaben","solo","male","verified_haitian","HT","Compas, Pop","inactive","https://open.spotify.com/artist/1eT8Y3YxDSgSQiXbKfnMzE","https://www.youtube.com/@MikabenOfficial","https://en.wikipedia.org/wiki/Mikaben","https://en.wikipedia.org/wiki/Mikaben","VERIFIED","97","Michael Benjamin. Né à Port-au-Prince. Décédé 2022 sur scène à Paris."
"Rutshelle Guillaume","rutshelle guillaume","rutshelle-guillaume","solo","female","verified_haitian","HT","Compas, Pop","active","https://open.spotify.com/artist/6K5GI30Q2Y4VJa6XOKMQCQ","https://www.youtube.com/@RutshelleGuillaume","https://www.viberate.com/music-charts/top-artists-from-haiti/","https://open.spotify.com/artist/6K5GI30Q2Y4VJa6XOKMQCQ","VERIFIED","95","Artiste compas féminine haïtienne très populaire."
"Roody Roodboy","roody roodboy","roody-roodboy","solo","male","verified_haitian","HT","Compas, Pop","active","https://open.spotify.com/artist/1Jx7icJZLvZiDfJd0aNkvO","https://www.youtube.com/@RoodyRoodboy","https://www.viberate.com/music-charts/top-artists-from-haiti/","https://open.spotify.com/artist/1Jx7icJZLvZiDfJd0aNkvO","VERIFIED","94","Artiste compas haïtien populaire."
"Joé Dwèt Filé","joe dwet file","joe-dwet-file","solo","male","verified_haitian_diaspora","HT","Compas, Zouk, Pop","active","https://open.spotify.com/artist/26zgIfFyTCImkHAp5gwKW8","https://www.youtube.com/@JoeDwetFile","https://en.wikipedia.org/wiki/Jo%C3%A9_Dw%C3%A8t_Fil%C3%A9","https://en.wikipedia.org/wiki/Jo%C3%A9_Dw%C3%A8t_Fil%C3%A9","VERIFIED","96","Joé Gilles. French-Haitian singer. Konpa et zouk."
"Baky","baky","baky","solo","male","verified_haitian","HT","Rap Kreyòl, Trap","active","https://open.spotify.com/artist/0vCIaNijrWoXqaETLF7GbD","https://www.youtube.com/@BakyPopilé","https://www.revolt.tv/article/rappers-to-know-in-honor-of-haitian-flag-day","https://open.spotify.com/artist/0vCIaNijrWoXqaETLF7GbD","VERIFIED","93","Baky Popilè. Rappeur haïtien majeur."
"Naïka","naika","naika","solo","female","verified_haitian_diaspora","US","Pop, R&B","active","https://open.spotify.com/artist/4sYFbjLJpJJUz52dVE1tJI","https://www.youtube.com/@NaikaMusic","https://en.wikipedia.org/wiki/Na%C3%AFka","https://open.spotify.com/artist/4sYFbjLJpJJUz52dVE1tJI","VERIFIED","88","Naïka Bonheur. Américaine d'origine haïtienne. Pop/R&B."
"BelO","belo","belo","solo","male","verified_haitian","HT","Reggae, Racine, World","active","https://open.spotify.com/artist/5EbA6WV9yXuZQicAUSzjcM","https://www.youtube.com/@belohaiti","https://en.wikipedia.org/wiki/BelO","https://en.wikipedia.org/wiki/BelO","VERIFIED","95","Jean Bélony Mevs. Né à Port-au-Prince. Artiste racine/reggae."
"Emeline Michel","emeline michel","emeline-michel","solo","female","verified_haitian","HT","World, Jazz, Compas","active","https://open.spotify.com/artist/0UPiJ0NOp8FzEH3LAILcQO","https://www.youtube.com/@EmelineMichel","https://en.wikipedia.org/wiki/Emeline_Michel","https://en.wikipedia.org/wiki/Emeline_Michel","VERIFIED","96","Née à Gonaïves. Surnommée la Joni Mitchell d'Haïti."
"Wanito","wanito","wanito","solo","male","verified_haitian","HT","Compas","active","https://open.spotify.com/artist/5OGVB7VRCrcxlOt8O0bDas","https://www.youtube.com/@wanito","https://www.viberate.com/music-charts/top-artists-from-haiti/","https://open.spotify.com/artist/5OGVB7VRCrcxlOt8O0bDas","VERIFIED","88","Artiste compas haïtien."
