"artist_name","normalized_name","slug","artist_type","gender_or_group","haitian_status","birth_country","genres","active_status","spotify_url","youtube_channel_url","haitian_evidence_url","music_evidence_url","verification_status","confidence_score","notes"
"Tonymix","tonymix","tonymix","solo","male","verified_haitian","HT","DJ, Rabòday","active","","","https://www.viberate.com/music-charts/top-artists-from-haiti/","","PROBABLE","75","Possible doublon de Tony Mix. À vérifier."
"Coupé Cloué Jr","coupe cloue jr","coupe-cloue-jr","solo","male","verified_haitian","HT","Compas","active","","","","","PROBABLE","70","Fils de Coupé Cloué. Peu de sources indépendantes."
"Roach","roach","roach-ht","solo","male","verified_haitian","HT","Rap Kreyòl, Trap","active","","","","","PROBABLE","72","Rappeur haïtien. Sources limitées."
"Djo Lissaint","djo lissaint","djo-lissaint","solo","male","verified_haitian","HT","Twoubadou, Compas","inactive","","","","","PROBABLE","68","Artiste haïtien historique. Sources insuffisantes."
"G-Unit Haiti","g unit haiti","g-unit-haiti","group","group","verified_haitian_group","HT","Rap Kreyòl","inactive","","","","","PROBABLE","65","Groupe rap. Sources insuffisantes pour vérification complète."
"Fatima","fatima","fatima-ht","solo","female","verified_haitian","HT","Pop, Compas","active","","","","","PROBABLE","72","Artiste haïtienne. Sources limitées. Slug distinctif."
"Kompa direct","kompa direct","kompa-direct","group","group","verified_haitian_group","HT","Compas","inactive","","","https://en.wikipedia.org/wiki/Compas","","PROBABLE","70","Ensemble historique de Nemours. Confusion possible avec le genre."
"Kadans","kadans","kadans","solo","male","verified_haitian","HT","Compas, Pop","active","","","","","PROBABLE","68","Peu de sources. À vérifier."
"Oswald","oswald","oswald-ht","solo","male","verified_haitian","HT","Compas","active","","","","","PROBABLE","70","Artiste compas. Sources limitées. Slug distinctif."
"Jocelyne Béroard","jocelyne beroard","jocelyne-beroard","solo","female","verified_haitian_diaspora","HT","Zouk, Compas","active","https://open.spotify.com/artist/2HnEaRdXtUebNDEHUJpgKg","","https://en.wikipedia.org/wiki/Jocelyne_B%C3%A9roard","https://en.wikipedia.org/wiki/Jocelyne_B%C3%A9roard","PROBABLE","72","Kassav'. Martiniquaise. Origine haïtienne partielle non confirmée."
"Tonton Bicha","tonton bicha","tonton-bicha","solo","male","verified_haitian","HT","Compas, Humor","active","","","","","PROBABLE","72","Artiste/humoriste haïtien. Frontière musique/comédie."
"Tjooze","tjooze","tjooze","solo","male","verified_haitian","HT","Rap, Trap","active","","","","","PROBABLE","70","Artiste trap haïtien. Sources limitées."
"Nu Vice","nu vice","nu-vice","group","group","verified_haitian_group","HT","Compas","active","","","","","PROBABLE","68","Groupe compas. Confusion possible avec T-Vice/Nu Look."
"Dòf","dof","dof-ht","solo","male","verified_haitian","HT","Compas","active","","","","","PROBABLE","68","Artiste compas. Sources limitées."
"Garcia Delva","garcia delva","garcia-delva","solo","male","verified_haitian","HT","Compas","active","","","","","PROBABLE","70","Politicien/musicien haïtien. Sources musicales limitées."
"David Dupont Bongarde","david dupont bongarde","david-dupont-bongarde","solo","male","verified_haitian","HT","Compas","active","","","","","PROBABLE","68","Artiste compas. Sources limitées."
"Sheldon Senior","sheldon senior","sheldon-senior","solo","male","verified_haitian","HT","R&B, Pop","active","","","","","PROBABLE","70","Artiste haïtien. Sources limitées."
"Kompa Magazine Band","kompa magazine band","kompa-magazine-band","group","group","verified_haitian_group","HT","Compas","active","","","","","PROBABLE","68","Groupe compas. Sources limitées."
"Karaoké Band","karaoke band","karaoke-band-ht","group","group","verified_haitian_group","HT","Compas","active","","","","","PROBABLE","65","Groupe compas haïtien. Sources limitées."
"Gary French","gary french","gary-french","solo","male","verified_haitian","HT","Compas, Pop","active","","","","","PROBABLE","70","Artiste compas. Sources limitées."
"Jean Thomas (Ti-Jean)","jean thomas ti jean","jean-thomas-ti-jean","solo","male","verified_haitian","HT","Twoubadou","inactive","","","","","PROBABLE","68","Artiste twoubadou haïtien historique. Sources limitées."
"Sarodj Bertin","sarodj bertin","sarodj-bertin","solo","female","verified_haitian","HT","Pop","active","","","https://www.viberate.com/music-charts/top-artists-from-haiti/","","PROBABLE","72","Miss Haïti 2012. Activité musicale secondaire."
"James The Prophet","james the prophet","james-the-prophet","solo","male","verified_haitian_diaspora","US","Gospel, Worship","active","","","","","PROBABLE","70","Artiste gospel diaspora. Sources limitées."
"Maestro","maestro","maestro-ht","solo","male","verified_haitian","HT","Compas","active","","","","","PROBABLE","68","Artiste compas. Homonyme possible. Sources limitées."
"Val","val","val-ht","solo","male","verified_haitian","HT","Compas, Pop","active","","","","","PROBABLE","68","Artiste haïtien. Sources limitées."
"Pedro Mista","pedro mista","pedro-mista","solo","male","verified_haitian","HT","Rabòday, Rap Kreyòl","active","","","","","PROBABLE","72","Artiste rabòday haïtien. Sources limitées."
"Bòs TV","bos tv","bos-tv","solo","male","verified_haitian","HT","Rabòday","active","","","","","PROBABLE","70","Artiste rabòday haïtien. Sources limitées."
"DJ Swetty Tet","dj swetty tet","dj-swetty-tet","solo","male","verified_haitian","HT","DJ, Rabòday","active","","","","","PROBABLE","70","DJ rabòday haïtien. Sources limitées."
"Pè Fèt","pe fet","pe-fet","solo","male","verified_haitian","HT","Rabòday","active","","","","","PROBABLE","68","Artiste rabòday haïtien. Sources limitées."
"Bato","bato","bato-ht","solo","male","verified_haitian","HT","Rabòday, Rap Kreyòl","active","","","","","PROBABLE","70","Artiste rabòday haïtien. Sources limitées."
"Pòtoprens","potoprens","potoprens","group","group","verified_haitian_group","HT","Compas","active","","","","","PROBABLE","70","Groupe compas haïtien. Sources limitées."
"G La","g la","g-la","solo","male","verified_haitian","HT","Rabòday","active","","","","","PROBABLE","68","Artiste rabòday haïtien. Sources limitées."
